"","sbj_id","final_MIE"
"1",2,-0.30495159371927
"2",3,-0.0504079306141468
"3",4,0.863301454021873
"4",5,1.52991691587586
"5",6,0.369493319314997
"6",7,-0.13529399896428
"7",8,-0.749114184851002
"8",9,0.579110729263885
"9",10,-0.216279791516403
"10",11,-1.79578510795363
"11",12,0.262420328247379
"12",13,1.60233464467299
"13",14,1.87991867073861
"14",15,0.716724382470811
"15",16,1.34182667478616
"16",17,0.136418725987259
"17",18,-0.681309238362864
"18",19,-0.430589938855575
"19",20,2.09676727215022
"20",21,0.251067910292466
"21",22,0.67134785361132
"22",23,-0.478359197633506
"23",24,-0.421061295949388
"24",25,-0.385143777622546
"25",26,0.793313487001033
"26",27,-0.729724553740491
"27",28,-1.89547977251509
"28",29,0.126724902985678
"29",30,1.26025701998673
"30",31,-0.0431293004095612
"31",32,-0.365161150403785
"32",33,-3.03816253094456
"33",34,1.82516540387274
"34",35,-0.0966394961769022
"35",36,0.80598918087784
"36",37,-0.817834348596888
"37",38,0.534755366679432
"38",39,-0.645317932824265
"39",40,1.20460331045246
"40",41,-0.485430305300366
"41",42,-3.34629269049885
"42",43,-1.49210641591955
"43",44,-0.0802518806463451
"44",45,-0.284953459438273
"45",46,0.150960340334703
"46",47,-2.80583755975464
"47",48,-1.63646697423437
"48",49,-1.00570244172316
"49",50,1.46685259370545
"50",51,-0.506228337768174
"51",52,0.769263724733762
"52",53,-0.815635922056498
"53",54,2.27065106209865
"54",55,-2.95541193386231
"55",56,0.743051919858776
"56",57,0.802008003233369
"57",58,-0.10285550469997
"58",59,-1.63506963739166
"59",60,0.1175282893653
"60",61,1.7392364928553
"61",62,0.223895246210458
"62",63,1.01201990351122
"63",64,0.495530856857061
"64",65,0.739678564774774
"65",66,-1.92025662016244
"66",67,-0.508578186552404
"67",68,0.67280583482022
"68",69,-0.123198241125737
"69",70,1.23456025003058
"70",71,-2.19103448676916
"71",72,1.20849168420865
"72",73,-1.77402454520622
"73",74,1.31853895931468
"74",75,1.6066627544605
"75",76,0.875299909978451
"76",77,0.613568215434358
"77",78,1.74658258269176
"78",79,-1.2731054463738
"79",80,0.747439959661109
"80",81,0.536713135956617
"81",82,-1.17553246825537
"82",83,-0.374275445436212
"83",84,0.444992789148101
"84",85,-1.78063726709531
"85",86,1.16484028539138
