,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,75,11rec,3.0,29.0,mernidallo,,rec,11,s,2.3490055999991455
1,75,21suff,,,tobufico,,tsue,21,s,3.119444600000861
2,75,10rec,3.0,28.0,cribotista,,rec,10,l,1.7126195000000735
3,75,12rec,3.0,30.0,pubbanasio,,rec,12,s,6.234567299999981
4,75,3corr,3.0,3.0,mudegondo,hf,corr,3,l,1.3572425999991538
5,75,40lf,,,slibadeffo,,tsue,40,s,1.857261400000425
6,75,5suffUsTe,,,rabegenza,,uste,5,s,2.20898169999964
7,75,15rec,3.0,33.0,cridolinna,,rec,15,s,1.822988300000361
8,75,3hf,,,rugobome,,tsue,3,s,3.578716500000155
9,75,40hf,,,slibadusto,,tsue,40,s,2.9762570000002597
10,75,13rec,3.0,31.0,dorguvario,,rec,13,s,3.6596605999984604
11,75,48suffUsTe,,,pitucista,,uste,48,s,2.3825759000010294
12,75,39suffUsTe,,,sacupiere,,uste,39,s,3.0383511999989423
13,75,30lf,,,mernidebo,,tsue,30,l,1.9865255000004254
14,75,5rec,3.0,23.0,vutuvenso,,rec,5,l,2.0448555999992095
15,75,7corr,3.0,7.0,"clivuniaba,",lf,corr,7,l,2.8752358999990975
16,75,3rec,3.0,21.0,mudegespa,,rec,3,l,3.2780032999999094
17,75,6corr,3.0,6.0,tobufenso,hf,corr,6,l,3.5986522999992303
18,75,17corr,3.0,17.0,vugipismo,sf,corr,17,l,2.1587365999985195
19,75,18corr,3.0,18.0,pobedogno,hf,corr,18,l,2.365557399998579
20,75,14rec,3.0,32.0,slibadosto,,rec,14,s,2.3799208000000363
21,75,21lf,,,tobufirpe,,tsue,21,s,2.124331400000301
22,75,3suff,,,rugoborio,,tsue,3,s,3.501039300001139
23,75,30hf,,,mernidoppo,,tsue,30,s,2.431413499998598
24,75,9rec,3.0,27.0,cettobiaba,,rec,9,s,2.126806399999623
25,75,2corr,3.0,2.0,zudulenza,sf,corr,2,l,1.5198302999997395
26,75,7rec,3.0,25.0,clivuniere,,rec,7,s,4.940313299999616
27,75,38lfUsTe,,,sacupolmo,,uste,38,s,2.9872281000007206
28,75,13corr,3.0,13.0,dorguvinna,lf,corr,13,l,2.318416199999774
29,75,5corr,3.0,5.0,vutuvizia,sf,corr,5,l,1.5667871999994532
30,75,7hfUsTe,,,rabegento,,uste,7,s,2.1128501999992295
31,75,1lfUsTe,,,pecupespa,,uste,1,s,3.2323955000010756
32,75,30hfUsTe,,,necibenso,,uste,30,s,3.808674699999756
33,75,10corr,3.0,10.0,cribotasio,lf,corr,10,l,2.497067299998889
34,75,16corr,3.0,16.0,cevecepre,lf,corr,16,l,2.731569599998693
35,75,2rec,3.0,20.0,zudulondo,,rec,2,s,5.08845459999975
36,75,42suffUsTe,,,zupelizia,,uste,42,s,1.819950200000676
37,75,15corr,3.0,15.0,cridolosto,hf,corr,15,s,5.838964700000361
38,75,1corr,3.0,1.0,rugobespa,lf,corr,1,s,3.3415419999982987
39,75,18rec,3.0,36.0,pobedepre,,rec,18,s,3.6300282000011066
40,75,16rec,3.0,34.0,cevecismo,,rec,16,s,2.173725499998909
41,75,17rec,3.0,35.0,vugipogno,,rec,17,l,2.6865634999994654
42,75,37hfUsTe,,,sacupondo,,uste,37,s,2.796842600000673
43,75,1rec,3.0,19.0,rugobenza,,rec,1,s,2.4442815000002156
44,75,9corr,3.0,9.0,cettobento,hf,corr,9,l,7.27783460000137
45,75,6rec,3.0,24.0,tobufolmo,,rec,6,s,2.8291606999991927
46,75,4corr,3.0,4.0,ceburolmo,lf,corr,4,s,3.4728082999990875
47,75,4rec,3.0,22.0,ceburizia,,rec,4,s,2.975016800000958
48,75,21hf,,,tobufempo,,tsue,21,s,2.337055500000133
49,75,24hfUsTe,,,bepolallo,,uste,24,s,1.8989561999987927
50,75,12corr,3.0,12.0,pubbanallo,hf,corr,12,l,1.6808426000006875
51,75,47lfUsTe,,,pituciaba,,uste,47,s,1.806874500000049
52,75,40suff,,,slibadoso,,tsue,40,s,6.383123800000249
53,75,8rec,3.0,26.0,vicrazento,,rec,8,l,2.3831692000003386
54,75,8corr,3.0,8.0,vicraziere,sf,corr,8,l,1.6644392999987758
55,75,16lfUsTe,,,fodavasio,,uste,16,s,2.091107700000066
56,75,14corr,3.0,14.0,slibadario,sf,corr,14,l,2.3836555999987468
57,75,3lf,,,rugoberpe,,tsue,3,s,1.8229403000004822
58,75,30suff,,,mernidiera,,tsue,30,l,1.707865699998365
59,75,11corr,3.0,11.0,mernidista,sf,corr,11,l,1.4046118999995088
