sentID,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,congruency,target
1nc,sf,hf,lf,no,"Quando la mamma mi ha abbracciato, era troppo tardi, non ce l'ho fatta a rugobare."
2nc,hf,lf,sf,no,"Anche quando si parla della scienza, Maria riesce a zudulare."
3c,lf,sf,hf,yes,"Marco è un bel ragazzo ma non sa accettare i complimenti, deve smettere di mudegare."
4nc,sf,hf,lf,no,"Siccome ogni giorno parla con sua madre, Giovanni non è mai ceburo."
5c,hf,lf,sf,yes,"Quando sua moglie ha fatto la scenata al ristorante, Mario era vutuvo."
6nc,lf,sf,hf,no,"Facendo l'avvocato uno si stressa tanto e vive male, Tommaso ha fatto una scelta tobufa."
7c,sf,hf,lf,yes,Selena spera che sua figlia sarà più brava a scuola se ogni giorno le canta un clivuno.
8nc,hf,lf,sf,no,"Ormai non rispondo più alle chiamate dei genitori, può essere solo un vicrazo."
9nc,lf,sf,hf,no,"Tra gli amici da vari paesi da tutto il mondo, Marta ha un meraviglioso cettobo."
10c,sf,hf,lf,yes,"Stanca dalla vita in città in un grattacielo, Rita è andata a vivere in un criboto."
11c,hf,lf,sf,yes,Ho un vestito di sera che sta molto bene con il mio nuovo mernido.
12nc,lf,sf,hf,no,Gli alpinisti appassionati pagano tanto per avere un pubbano.
13nc,sf,hf,lf,no,Ho visto nella vetrina della Lidl che hanno un nuovo dorguvo.
14c,hf,lf,sf,yes,"Invece di leggere una storia a lieto fine, la piccola Sara preferisce uno slibado."
15c,lf,sf,hf,yes,"Roberto non ci permette di picchiarci nemmeno giocando, è il nostro cridolo."
16c,sf,hf,lf,yes,Alessio può mangiare solo i dessert senza frutta perché è un ceveco.
17nc,hf,lf,sf,no,"Tra le altre cose, Michele ha dovuto imparare a leggere per diventare vugipo."
18c,lf,sf,hf,yes,Mi piace troppo essere il migliore per poter essere un pobedo.
